"-बिजिलाकिषोरः,","-बिजिलाकिषोर ः,"
छात्राः,छात्राः
जलोपप्लवे,जलोपप्लवे
मृताः।,मृताः।
मृत्पङ्कादीनाम्,मृत् पङ्कादीनाम्
अधस्थात्,अधस्थात्
मृतशरीराणि,मृतशरीराणि
लब्धानि।,लब्धानि।
इन्दोनष्यायाः,इन्दोनष्या याः
उत्तरपश्चिमभागात्‌,उत्तर पश्चिमभागात् ‌
५००,५००
गृहाणि,गृहाणि
जलेन,जलेन
निसृताः,निसृताः
सन्ति।,सन्ति।
त्रयः,त्रयः
सेतवः,सेतवः
भग्नाः,भग्नाः
च।,च।
भुवनेश्वरम्,भुवनेश्वर म्
>,>
बंगसमुद्रे,बंग समुद्रे
जातः,जातः
तित्ली',तित्ली'
चक्रवातः,चक्रवातः
ओडीषातीरं,ओडीषातीरं
प्राप।,प्राप।
होरायां,होरायां
१२६,१२६
किलोमीट्टर्,किलोमी ट्टर्
इति,इति
वेगेन,वेगेन
आसीत्,आसीत्
चक्रवातस्य,चक्रवात स्य
आगमनम्।,आगमनम्।
अद्य,अद्य
(गुरुवासरः),(गुरु वासर ः)
उषसि,उषसि
आसीत्,आसीत्
वातस्य,वातस्य
दुरागमनम्।,दुरागमनम् ।
सुराक्षानुबन्धतया,सुरा क्षानुबन्धत या
लक्षत्रयं,लक्षत्रयं
जनाः,जनाः
ततः,ततः
सुरक्षितस्थानं,सुर क्षितस्थानं
प्रति,प्रति
प्रेषिताः,प्रेषिताः
आसन्।,आसन्।
गोपालपुरे,गोपालपुरे
१५०,१५०
कि०मी,कि०मी
वेगेन,वेगेन
वाति,वाति
स्म,स्म
इति,इति
आवेद्यते।,आवेद्यते।
अधिकानि,अधिकानि
नाशनष्टानि,नाशनष्टानि
गोपालपुरे,गोपालपुरे
अभवत्।,अभवत्।
ओडीषातीरेषु,ओ डीषातीरेषु
पादपाः,पादपाः
विद्युत्,विद्युत्
स्थम्भाश्च,स्थम् भाश् च
विशीर्णः।,विशीर्णः।
भूमार्गगतागतनि,भूमार्ग गता गत नि
स्थगितानि।,स्थगिता नि ।
"गञ्जं,","गञ्जं,"
"गजपतिः,","गजपतिः,"
"पुरी,","पुरी,"
"खुर्द,","खुर्द,"
जगद्,जगद्
सिङ्पुरप्रदेशेषु,सिङ् पुरप्रदेशेषु
वृष्टिः,वृष्टिः
अनुवर्तते।,अनु वर्तते।
हरिद्वारम्,हरि द्वारम्
>,>
गङ्गानद्याः,गङ्गान द्याः
